订单号,订单重量(t),坯料钢种,订单直径(mm),订单定尺(mm),所有密度为9.86 g/cm^3
A20260721,28.780,30C,45.00 ,7000,
A20260722,41.240,30C,45.00 ,7000,
A20260723,47.968,30C,45.00 ,4940,
A20260724,22.642,30C,45.00 ,4940,
A20260725,54.244,30C,45.00 ,4900,
A20260726,55.430,30C,45.00 ,4900,
A20260727,43.024,30C,45.00 ,4900,
A20260728,43.024,30C,45.00 ,4900,
A20260729,22.268,30C,45.00 ,4795,
A20260730,83.608,30C,45.00 ,4815,
A20260731,37.344,30C,45.00 ,4900,
A20260732,20.976,30C,45.00 ,5200,
A20260733,28.494,30C,45.00 ,5200,
A20260734,102.130,30C,45.00 ,5900,
A20260735,41.780,30C,45.00 ,4630,
A20260736,34.290,30C,45.00 ,4900,
A20260737,19.036,30C,45.00 ,4900,
A20260738,97.924,30C,45.00 ,4900,
A20260739,19.249,30C,45.00 ,4900,
A20260740,94.956,30C,45.00 ,4900,
A20260741,33.646,30C,45.00 ,4900,
A20260742,57.316,30C,45.00 ,4700,
A20260743,48.552,30C,45.00 ,6400,
A20260744,79.354,30C,45.00 ,6400,
A20260745,33.118,30C,45.00 ,6400,
A20260746,53.491,UE503,45.00 ,6600,
A20260747,96.986,UE503,45.00 ,5800,
A20260748,42.720,UE503,45.00 ,4900,
A20260749,47.080,UE503,45.00 ,8650,
A20260750,29.240,UE503,45.00 ,6400,
A20260751,16.598,UE503,45.00 ,6400,
A20260752,40.789,UE503,45.00 ,6400,
A20260753,23.193,UE503,45.00 ,6400,
A20260754,73.530,UE503,45.00 ,6400,
A20260755,41.630,UE503,45.00 ,7900,
A20260756,38.630,UE503,45.00 ,7900,
A20260757,46.972,UE503,45.00 ,7900,
A20260758,125.010,UE503,45.00 ,7900,
A20260759,63.400,UE503,45.00 ,4850,
A20260760,63.780,UE503,45.00 ,4400,
A20260761,22.712,UE503,45.00 ,4400,
A20260762,35.421,UE503,45.00 ,4400,
A20260763,48.106,UE503,45.00 ,4400,
A20260764,73.507,UE503,45.00 ,4400,
A20260765,16.351,UE503,45.00 ,4400,
A20260766,22.656,UE503,38.00 ,4900,
A20260767,20.020,UE503,38.00 ,4900,
A20260768,25.192,UE503,38.00 ,4900,
A20260769,54.192,UE503,38.00 ,4900,
A20260770,16.213,UE503,38.00 ,6400,
A20260771,21.880,UE503,38.00 ,4900,
A20260772,41.640,UE503,38.00 ,4900,
A20260773,41.640,UE503,38.00 ,4900,
A20260774,40.555,UE503,38.00 ,4900,
A20260775,58.880,UE503,38.00 ,4900,
A20260776,47.278,UE503,38.00 ,4900,
A20260777,40.828,UE503,38.00 ,6400,
A20260778,44.749,UE503,38.00 ,6400,
A20260779,63.859,UE503,38.00 ,4900,
A20260780,76.288,UE503,38.00 ,4901,
A20260781,22.413,UE503,38.00 ,4901,
A20260782,22.435,UE503,38.00 ,4901,
A20260783,140.486,UE503,38.00 ,4901,
A20260784,59.080,UE503,38.00 ,7900,
A20260785,120.515,UE503,38.00 ,5000,
A20260786,92.059,UE503,38.00 ,5000,
A20260787,26.392,UE503,38.00 ,5000,
A20260788,22.276,UE503,38.00 ,6000,
A20260789,22.270,UE503,38.00 ,5995,
A20260790,71.350,UE503,38.00 ,5995,
A20260791,28.405,UE503,38.00 ,4795,
A20260792,52.955,UE503,38.00 ,4930,
A20260793,40.675,UE503,38.00 ,4930,
A20260794,26.580,UE503,38.00 ,4900,
A20260795,88.831,UE503,38.00 ,4900,
A20260796,30.745,UE503,38.00 ,4901,
A20260797,43.184,UE503,38.00 ,4901,
A20260798,92.960,UE503,38.00 ,4901,
A20260799,42.944,UE503,38.00 ,6450,
A20260800,22.443,UE503,38.00 ,4901,
A20260801,72.168,UE503,38.00 ,4901,
A20260802,126.280,UE503,38.00 ,4901,
A20260803,126.280,UE503,38.00 ,4901,
A20260804,93.100,UE503,38.00 ,4901,
A20260805,43.240,UE503,38.00 ,4900,
A20260806,25.194,UE503,38.00 ,4900,
A20260807,13.036,UE503,38.00 ,4900,
A20260808,28.279,UE503,38.00 ,6140,
A20260809,40.560,UE503,38.00 ,5840,
A20260810,71.420,UE503,38.00 ,6550,
A20260811,22.480,UE503,38.00 ,4900,
A20260812,75.610,UE503,38.00 ,4950,
A20260813,80.880,UE503,38.00 ,5010,
A20260814,34.700,UE503,38.00 ,5010,
A20260815,40.926,UE503,38.00 ,4850,
A20260816,59.556,UE503,38.00 ,4850,
A20260817,43.980,UE503,38.00 ,4850,
A20260818,89.755,UE503,38.00 ,5980,
A20260819,53.204,UE503,38.00 ,5980,
A20260820,41.060,UE503,38.00 ,4900,
A20260821,40.555,UE503,38.00 ,4900,
A20260822,22.186,UE503,38.00 ,10000,
A20260823,22.192,UE503,38.00 ,10000,
A20260824,22.222,UE503,38.00 ,5620,
A20260825,34.754,UE503,38.00 ,4700,
A20260826,28.233,UE503,38.00 ,4900,
A20260827,40.864,UE503,38.00 ,6400,
A20260828,22.444,UE503,38.00 ,4900,
A20260829,34.692,UE503,38.00 ,4900,
A20260830,42.464,UE503,38.00 ,4900,
A20260831,142.860,UE503,38.00 ,4901,
A20260832,92.960,UE503,38.00 ,4901,
A20260833,59.760,UE503,38.00 ,4901,
A20260834,142.740,UE503,38.00 ,4901,
A20260835,126.520,UE503,38.00 ,4901,
A20260836,51.540,UE503,38.00 ,4901,
A20260837,22.280,UE503,38.00 ,4900,
A20260838,28.640,UE503,38.00 ,4900,
A20260839,57.929,UE503,38.00 ,4900,
A20260840,28.414,UE503,38.00 ,4900,
A20260841,84.780,UE503,38.00 ,6500,
A20260842,51.470,UE503,38.00 ,6500,
A20260843,28.874,UE503,38.00 ,4900,
A20260844,34.875,UE503,38.00 ,4900,
A20260845,40.370,UE503,38.00 ,7000,
A20260846,85.880,UE503,38.00 ,6100,
A20260847,40.366,UE503,38.00 ,6100,
A20260848,51.970,UE503,38.00 ,7001,
A20260849,22.213,UE503,38.00 ,7001,
A20260850,29.598,UE503,38.00 ,7001,
A20260851,21.840,UE503,38.00 ,6900,
A20260852,93.800,UE503,38.00 ,6900,
A20260853,22.000,UE503,38.00 ,6900,
A20260854,93.800,UE503,38.00 ,7000,
A20260855,22.014,UE503,38.00 ,7000,
A20260856,93.946,UE503,38.00 ,7000,
A20260857,33.947,UE503,38.00 ,7000,
A20260858,88.507,UE503,38.00 ,4900,
A20260859,34.890,UE503,38.00 ,4940,
A20260860,22.444,UE503,38.00 ,4901,
A20260861,72.120,UE503,38.00 ,4901,
A20260862,46.828,UE503,38.00 ,4900,
A20260863,34.507,UE503,38.00 ,4860,
A20260864,40.511,UE503,38.00 ,4860,
A20260865,25.089,UE503,38.00 ,5000,
A20260866,47.293,UE503,38.00 ,5000,
A20260867,25.724,XL2,38.00 ,4900,
A20260868,96.494,XL2,38.00 ,4900,
A20260869,34.692,XL2,38.00 ,4900,
A20260870,47.112,XL2,38.00 ,5210,
A20260871,47.284,XL2,38.00 ,5210,
A20260872,92.340,XL2,38.00 ,5210,
A20260873,26.929,XL2,38.00 ,4900,
A20260874,65.557,XL2,38.00 ,4900,
A20260875,22.173,XL2,38.00 ,4900,
A20260876,34.848,XL2,38.00 ,4900,
A20260877,22.432,42A,34.00 ,4901,
A20260878,65.926,42A,34.00 ,4901,
A20260879,55.612,42A,34.00 ,4901,
A20260880,33.858,42A,34.00 ,4901,
A20260881,34.324,42A,34.00 ,7250,
A20260882,40.455,42A,34.00 ,7250,
A20260883,28.509,42A,34.00 ,4900,
A20260884,42.940,42A,34.00 ,5700,
A20260885,125.200,42A,34.00 ,5700,
A20260886,67.792,42A,34.00 ,5700,
A20260887,67.788,42A,34.00 ,5110,
A20260888,125.580,42A,34.00 ,6100,
A20260889,125.520,42A,34.00 ,6100,
A20260890,108.948,42A,34.00 ,6100,
A20260891,125.740,42A,34.00 ,6100,
A20260892,125.480,42A,34.00 ,6100,
A20260893,141.720,42A,34.00 ,6100,
A20260894,42.944,42A,34.00 ,6100,
A20260895,67.652,42A,34.00 ,5410,
A20260896,26.472,42A,34.00 ,4900,
A20260897,28.232,42A,34.00 ,4900,
A20260898,34.692,42A,34.00 ,6290,
A20260899,38.833,42A,34.00 ,6290,
A20260900,75.904,SALE01,34.00 ,4900,
A20260901,30.587,SALE01,34.00 ,5110,
A20260902,88.299,SALE01,34.00 ,5110,
A20260903,47.081,SALE01,34.00 ,6100,
A20260904,38.812,SALE01,34.00 ,6100,
A20260905,41.075,SALE01,34.00 ,4901,
A20260906,22.344,SALE01,34.00 ,5750,
A20260907,40.150,SALE01,34.00 ,6290,
A20260908,16.153,SALE01,34.00 ,4900,
A20260909,43.425,SALE01,34.00 ,4900,
A20260910,25.692,SALE01,34.00 ,9140,
A20260911,26.464,SALE02,24.00 ,4900,
A20260912,58.240,SALE02,24.00 ,6335,
A20260913,22.060,SALE02,24.00 ,6065,
A20260914,37.740,SALE02,24.00 ,4900,
A20260915,19.294,SALE02,24.00 ,4900,
A20260916,34.530,SALE02,24.00 ,4900,
A20260917,134.870,SALE02,24.00 ,4900,
A20260918,34.920,SALE02,24.00 ,4900,
A20260919,31.880,SALE02,24.00 ,4900,
A20260920,37.430,SALE02,24.00 ,4900,
A20260921,13.170,SALE02,24.00 ,4900,
A20260922,22.430,SALE03,24.00 ,4900,
A20260923,97.015,SALE03,24.00 ,4901,
A20260924,84.564,SALE03,24.00 ,4901,
A20260925,121.820,SALE03,24.00 ,4901,
A20260926,122.000,SALE03,24.00 ,4901,
A20260927,22.276,SALE03,24.00 ,4900,
A20260928,37.250,SALE03,24.00 ,4900,
A20260929,92.250,SALE03,24.00 ,7850,
A20260930,129.720,SALE03,24.00 ,7850,
A20260931,21.250,SALE03,24.00 ,7850,
A20260932,65.605,SALE03,24.00 ,4900,
A20260933,50.865,SALE03,24.00 ,5900,
A20260934,22.573,SALE03,24.00 ,4900,
A20260935,29.860,SALE03,24.00 ,4900,
A20260936,35.320,SALE03,24.00 ,4900,
A20260937,34.894,SALE03,24.00 ,4900,
A20260938,40.140,SALE03,24.00 ,5215,
A20260939,34.120,SALE03,24.00 ,5215,
A20260940,142.580,SALE03,24.00 ,5370,
A20260941,42.928,SALE04,27.80 ,6100,
A20260942,30.580,SALE04,27.80 ,6100,
A20260943,26.476,SALE04,27.80 ,4900,
A20260944,59.488,SALE04,27.80 ,4900,
A20260945,75.972,SALE04,27.80 ,5100,
A20260946,63.679,SALE04,27.80 ,5100,
A20260947,54.119,SALE04,27.80 ,5100,
A20260948,80.023,SALE04,27.80 ,5100,
A20260949,22.344,SALE04,27.80 ,-1100,
A20260950,114.800,SALE04,27.80 ,4900,
A20260951,103.040,SALE04,27.80 ,4900,
A20260952,43.024,SALE04,27.80 ,4900,
A20260953,40.150,SALE04,27.80 ,6010,
A20260954,34.376,SALE04,27.80 ,4680,
A20260955,22.122,SALE04,27.80 ,4680,
A20260956,28.189,SALE04,27.80 ,4680,
A20260957,34.108,SALE04,27.80 ,5050,
A20260958,64.252,SALE04,27.80 ,5148,
A20260959,28.282,SALE04,27.80 ,4480,
A20260960,34.252,SALE04,27.80 ,4480,
A20260961,22.372,SALE04,27.80 ,4480,
A20260962,34.136,SALE04,27.80 ,4820,
A20260963,28.186,SALE04,27.80 ,5520,
A20260964,46.180,SALE04,27.80 ,5985,
A20260965,22.282,SALE05,23.00 ,7900,
A20260966,35.494,SALE05,23.00 ,4900,
A20260967,22.447,SALE05,23.00 ,4901,
A20260968,40.126,SALE05,23.00 ,6100,
A20260969,50.483,SALE05,23.00 ,6100,
A20260970,15.061,SALE05,23.00 ,6100,
A20260971,48.124,SALE05,23.00 ,6300,
A20260972,28.333,SALE05,23.00 ,8100,
A20260973,22.372,SALE05,23.00 ,4670,
A20260974,22.060,SALE05,23.00 ,6105,
A20260975,40.560,SALE05,23.00 ,5348,
A20260976,28.336,SALE05,23.00 ,5176,
A20260977,22.224,SALE05,23.00 ,5944,
A20260978,30.750,SALE05,23.00 ,4900,
A20260979,34.130,SALE05,23.00 ,4840,
A20260980,22.228,SALE05,23.00 ,4840,
A20260981,46.672,SALE05,23.00 ,4530,
A20260982,28.333,SALE06,23.00 ,9950,
A20260983,22.222,SALE06,23.00 ,8100,
A20260984,22.222,SALE06,23.00 ,9160,
A20260985,69.040,SALE06,23.00 ,6400,
A20260986,13.933,SALE06,23.00 ,6400,
A20260987,35.460,SALE06,23.00 ,4900,
A20260988,35.400,SALE06,23.00 ,4900,
A20260989,50.640,SALE06,23.00 ,6100,
A20260990,45.540,SALE06,23.00 ,6400,
A20260991,124.220,SALE06,23.00 ,6200,
A20260992,123.726,SALE06,23.00 ,4900,
A20260993,119.521,SALE06,23.00 ,7900,
A20260994,27.839,SALE06,23.00 ,6400,
A20260995,68.696,SALE06,23.00 ,6400,
A20260996,78.884,SALE06,23.00 ,4900,
A20260997,50.736,SALE06,23.00 ,4900,
A20260998,53.282,SALE06,23.00 ,6400,
A20260999,27.802,SALE06,23.00 ,4900,
A20261000,101.368,SALE06,23.00 ,4900,
A20261001,45.532,SALE06,23.00 ,4900,
A20261002,17.554,SALE06,23.00 ,4900,
A20261003,103.166,SALE06,23.00 ,6900,
A20261004,35.160,SALE06,23.00 ,4900,
A20261005,47.860,SALE06,23.00 ,4900,
A20261006,85.720,SALE06,23.00 ,4900,
A20261007,15.487,SALE07,34.00 ,4900,
A20261008,21.898,SALE07,34.00 ,4900,
A20261009,37.692,SALE07,34.00 ,4900,
A20261010,25.864,SALE07,34.00 ,4900,
A20261011,51.480,SALE07,34.00 ,4900,
A20261012,26.475,SALE07,34.00 ,4900,
A20261013,26.600,SALE07,34.00 ,4900,
A20261014,18.294,SALE07,34.00 ,4900,
A20261015,35.218,SALE07,34.00 ,4901,
A20261016,49.310,SALE07,34.00 ,4900,
A20261017,65.024,SALE07,34.00 ,4900,
A20261018,49.519,SALE07,34.00 ,4900,
A20261019,16.776,SALE07,34.00 ,4900,
A20261020,61.389,SALE07,34.00 ,4900,
A20261021,16.776,SALE07,34.00 ,4900,
A20261022,86.300,SALE07,34.00 ,4900,
A20261023,15.450,SALE07,34.00 ,4900,
A20261024,41.515,SALE07,34.00 ,7900,
A20261025,60.740,SALE07,34.00 ,6400,
A20261026,25.566,SALE07,34.00 ,6400,
A20261027,23.346,SALE08,36.00 ,6400,
A20261028,75.582,SALE08,36.00 ,6400,
A20261029,21.574,SALE08,36.00 ,6400,
A20261030,64.054,SALE08,36.00 ,6400,
A20261031,34.894,SALE08,36.00 ,4901,
A20261032,22.447,SALE08,36.00 ,4901,
A20261033,42.912,SALE08,36.00 ,4900,
A20261034,35.212,SALE08,36.00 ,4900,
A20261035,54.121,SALE08,36.00 ,4901,
A20261036,33.460,SALE08,36.00 ,4900,
A20261037,119.480,SALE08,36.00 ,4900,
A20261038,37.482,SALE08,36.00 ,4900,
A20261039,92.438,SALE08,36.00 ,4900,
A20261040,85.664,SALE08,36.00 ,4900,
A20261041,28.909,SALE08,36.00 ,6400,
A20261042,35.208,SALE08,36.00 ,6400,
A20261043,17.410,SALE08,36.00 ,4900,
A20261044,43.363,SALE08,36.00 ,4900,
A20261045,50.789,SALE08,36.00 ,4900,
A20261046,50.691,SALE08,36.00 ,4900,
A20261047,128.400,SALE08,36.00 ,4900,
A20261048,25.030,SALE08,36.00 ,4900,
A20261049,22.604,UE502,50.00 ,5030,
A20261050,35.208,UE502,50.00 ,4900,
A20261051,60.420,UE502,50.00 ,4901,
A20261052,99.166,UE502,50.00 ,3900,
A20261053,41.790,UE502,50.00 ,3900,
A20261054,28.974,UE502,50.00 ,5036,
A20261055,47.938,UE502,50.00 ,5036,
A20261056,86.104,UE502,50.00 ,4901,
A20261057,22.684,UE502,50.00 ,4900,
A20261058,29.059,UE502,50.00 ,4900,
A20261059,34.886,UE502,50.00 ,4900,
A20261060,27.045,UE502,50.00 ,4900,
A20261061,17.506,UE502,50.00 ,5990,
A20261062,55.036,UE502,50.00 ,5990,
A20261063,73.580,UE502,50.00 ,4700,
A20261064,54.471,UE502,50.00 ,4900,
A20261065,20.182,UE502,50.00 ,4900,
A20261066,35.412,UE502,50.00 ,6400,
A20261067,28.275,UE502,50.00 ,7000,
A20261068,25.901,UE502,50.00 ,7000,
A20261069,22.224,UE502,50.00 ,5500,
A20261070,60.776,UE502,50.00 ,4900,
A20261071,34.688,UE502,50.00 ,4525,
A20261072,28.520,UE501,40.00 ,4750,
A20261073,138.820,UE501,40.00 ,4750,
A20261074,46.744,UE501,40.00 ,5200,
A20261075,71.539,UE501,40.00 ,5400,
A20261076,60.368,UE501,40.00 ,4970,
A20261077,85.645,UE501,40.00 ,7900,
A20261078,54.212,UE501,40.00 ,4900,
A20261079,41.805,UE501,40.00 ,4400,
A20261080,34.172,UE501,40.00 ,7740,
A20261081,46.672,UE501,40.00 ,12080,
A20261082,54.527,UE501,40.00 ,3600,
A20261083,25.010,UE501,40.00 ,4900,
A20261084,24.998,UE501,40.00 ,4900,
A20261085,49.872,UE501,40.00 ,4900,
A20261086,64.828,UE501,40.00 ,4900,
A20261087,60.824,UE501,40.00 ,6100,
A20261088,46.450,UE501,40.00 ,6000,
A20261089,34.300,UE501,40.00 ,6000,
A20261090,28.930,UE501,40.00 ,4900,
A20261091,70.640,UE501,40.00 ,4900,
A20261092,50.384,UE501,40.00 ,4900,
A20261093,60.010,UE501,40.00 ,4900,
A20261094,84.820,UE501,40.00 ,4900,
A20261095,80.070,UE501,40.00 ,4900,
A20261096,47.752,UE501,40.00 ,4900,
A20261097,63.028,UE501,40.00 ,4900,
A20261098,75.240,UE501,40.00 ,4900,
A20261099,120.600,UE501,40.00 ,5430,
A20261100,53.395,UE501,40.00 ,5430,
A20261101,22.586,UE501,40.00 ,5900,
A20261102,42.784,UE501,40.00 ,5000,
A20261103,30.750,UE501,40.00 ,4900,
A20261104,67.246,UE505,40.00 ,4900,
A20261105,35.464,UE505,40.00 ,4900,
A20261106,41.830,UE505,40.00 ,4100,
A20261107,124.480,UE505,40.00 ,4900,
A20261108,18.292,UE505,40.00 ,4901,
A20261109,34.894,UE505,40.00 ,4901,
A20261110,70.641,UE505,40.00 ,4900,
A20261111,29.559,UE505,40.00 ,4900,
A20261112,25.189,UE505,40.00 ,4900,
A20261113,16.088,UE505,40.00 ,7000,
A20261114,60.584,UE505,40.00 ,4900,
A20261115,52.773,UE505,40.00 ,8280,
A20261116,82.561,UE505,40.00 ,4900,
A20261117,25.286,UE505,40.00 ,4900,
A20261118,36.733,UE505,40.00 ,4900,
A20261119,43.363,UE505,40.00 ,4900,
A20261120,13.704,UE505,40.00 ,4900,
A20261121,43.957,UE505,40.00 ,6900,
A20261122,25.012,UE505,37.50 ,4900,
A20261123,30.016,UE505,37.50 ,4900,
A20261124,25.144,UE505,37.50 ,6900,
A20261125,25.144,UE505,37.50 ,6900,
A20261126,24.905,UE505,37.50 ,3900,
A20261127,29.980,UE505,37.50 ,4900,
A20261128,39.970,UE505,37.50 ,4900,
A20261129,67.291,UE505,37.50 ,4400,
A20261130,124.555,UE505,37.50 ,4400,
A20261131,73.660,UE505,37.50 ,4400,
A20261132,22.276,UE505,37.50 ,4900,
A20261133,28.420,UE505,37.50 ,5300,
A20261134,34.920,UE505,37.50 ,5300,
A20261135,58.960,UE505,37.50 ,4900,
A20261136,48.082,UE505,37.50 ,4900,
A20261137,34.648,AB-2,37.50 ,4900,
A20261138,30.450,AB-2,37.50 ,4900,
A20261139,30.258,AB-2,37.50 ,4900,
A20261140,34.540,AB-2,37.50 ,4900,
A20261141,63.170,AB-2,37.50 ,4900,
A20261142,85.804,AB-2,37.50 ,4900,
A20261143,35.182,AB-2,37.50 ,4900,
A20261144,71.100,AB-2,37.50 ,6360,
A20261145,22.216,AB-2,37.50 ,11400,
A20261146,40.613,AB-2,37.50 ,4900,
A20261147,22.086,AB-2,37.50 ,10750,
A20261148,22.400,AB-2,37.50 ,4900,
A20261149,22.284,AB-2,37.50 ,5600,
A20261150,16.146,AB-2,37.50 ,5600,
A20261151,41.830,AB-2,37.50 ,4100,
A20261152,60.448,AB-2,37.50 ,7900,
A20261153,66.727,AB-2,37.50 ,4900,
A20261154,85.668,AB-2,37.50 ,4900,
A20261155,67.008,AB-2,37.50 ,4900,
A20261156,63.170,AB-2,37.50 ,4900,
A20261157,26.476,AB-2,37.50 ,6400,
A20261158,18.246,AB-2,37.50 ,6400,
A20261159,18.246,AB-2,37.50 ,4900,
A20261160,34.732,AB-2,37.50 ,4900,
A20261161,22.366,AB-2,37.50 ,4900,
A20261162,41.615,AB-2,37.50 ,4950,
A20261163,22.653,AB-2,37.50 ,4900,
A20261164,35.276,AB-2,37.50 ,4900,
A20261165,41.595,AB-2,37.50 ,4900,
A20261166,35.448,AB-2,37.50 ,4900,
A20261167,60.336,AB-2,37.50 ,4900,
A20261168,60.336,AB-2,37.50 ,4900,
A20261169,70.910,AB-2,37.50 ,6920,
A20261170,34.128,AB-2,37.50 ,6200,
A20261171,22.073,AB-2,38.83 ,6200,
A20261172,52.637,AB-2,38.83 ,5900,
A20261173,34.373,AB-2,38.83 ,4901,
A20261174,35.376,AB-2,38.83 ,4900,
A20261175,41.715,AB-2,38.83 ,4900,
A20261176,35.372,AB-2,38.83 ,4900,
A20261177,41.713,AB-2,38.83 ,4900,
A20261178,60.744,AB-2,38.83 ,4900,
A20261179,22.026,AB-2,38.83 ,7000,
A20261180,76.294,AB-2,38.83 ,7000,
A20261181,21.990,AB-2,38.83 ,7000,
A20261182,81.990,AB-2,38.83 ,7000,
A20261183,22.040,AB-2,38.83 ,7000,
A20261184,82.140,AB-2,38.83 ,7000,
A20261185,22.000,AB-2,38.83 ,7000,
A20261186,57.980,AB-2,38.83 ,7000,
A20261187,28.020,AB-2,38.83 ,7000,
A20261188,14.852,AB-2,38.83 ,7000,
A20261189,22.067,AB-2,38.83 ,7000,
A20261190,58.240,AB-2,38.83 ,7000,
A20261191,28.120,AB-2,38.83 ,7000,
A20261192,14.893,AB-2,38.83 ,7000,
A20261193,22.000,AB-2,38.83 ,7000,
A20261194,69.893,AB-2,38.83 ,7000,
A20261195,14.835,AB-2,38.83 ,7000,
A20261196,34.000,AB-2,38.83 ,7000,
A20261197,22.054,AB-2,38.83 ,7000,
A20261198,28.046,AB-2,38.83 ,7000,
A20261199,64.080,AB-2,38.83 ,7000,
A20261200,28.040,AB-2,38.83 ,5900,
A20261201,21.986,AB-2,38.83 ,5900,
A20261202,28.060,AB-2,38.83 ,5900,
A20261203,22.027,AB-2,38.83 ,5900,
A20261204,21.987,AB-2,38.83 ,6900,
A20261205,22.120,AB-2,38.83 ,6900,
A20261206,34.240,AB-2,38.83 ,6900,
A20261207,60.468,AB-2,38.83 ,4900,
A20261208,30.196,AB-2,38.83 ,4900,
A20261209,70.584,AB-2,38.83 ,4900,
A20261210,25.186,AB-2,38.83 ,4900,
A20261211,20.124,AB-2,38.83 ,4900,
A20261212,80.868,AB-2,38.83 ,4900,
A20261213,65.605,AB-2,38.83 ,4900,
A20261214,43.354,AB-2,38.83 ,4900,
A20261215,43.354,AB-2,38.83 ,4900,
A20261216,119.940,AB-2,38.83 ,6400,
A20261217,26.604,AB-2,38.83 ,4901,
A20261218,30.725,AB-2,38.83 ,4901,
A20261219,46.826,AB-2,38.83 ,4900,
A20261220,34.574,AB-2,38.83 ,6400,
A20261221,22.836,AB-2,38.83 ,4900,
A20261222,67.722,AB-2,38.83 ,4900,
A20261223,67.718,AB-2,38.83 ,4900,
A20261224,105.377,AB-2,38.83 ,3900,
A20261225,29.095,AB-2,38.83 ,3900,
A20261226,73.620,AB-2,38.83 ,3900,
A20261227,35.442,AB-2,38.83 ,3900,
A20261228,48.140,AB-2,38.83 ,3900,
A20261229,40.101,C60,26.50 ,6400,
A20261230,71.944,C60,26.50 ,6300,
A20261231,46.572,C60,26.50 ,6400,
A20261232,51.635,C60,26.50 ,6400,
A20261233,57.722,C60,26.50 ,4750,
A20261234,46.724,C60,26.50 ,4900,
A20261235,63.809,C60,26.50 ,6100,
A20261236,33.367,C60,26.50 ,4550,
A20261237,27.328,C60,26.50 ,5270,
A20261238,58.406,C60,26.50 ,4900,
A20261239,33.840,C60,26.50 ,4900,
A20261240,27.519,C60,26.50 ,4900,
A20261241,71.760,C60,26.50 ,4900,
A20261242,84.400,C60,26.50 ,4900,
A20261243,64.227,C60,26.50 ,4900,
A20261244,33.453,C60,26.50 ,4900,
A20261245,51.820,C60,26.50 ,6900,
A20261246,36.520,C60,26.50 ,4150,
A20261247,127.982,C60,26.50 ,4900,
A20261248,45.838,C60,26.50 ,6100,
A20261249,136.108,C60,26.50 ,6100,
A20261250,135.900,C60,26.50 ,6100,
A20261251,82.670,C60,26.50 ,6100,
A20261252,74.470,C60,26.50 ,6150,
A20261253,57.725,C60,26.50 ,4450,
A20261254,51.570,C60,26.50 ,4900,
A20261255,27.274,C60,26.50 ,4600,
A20261256,34.176,C60,26.50 ,5400,
A20261257,33.800,C60,26.50 ,4900,
A20261258,137.400,C60,26.50 ,4900,
A20261259,66.523,C60,26.50 ,7900,
A20261260,116.294,C60,26.50 ,4901,
A20261261,87.552,C60,26.50 ,4900,
A20261262,45.564,C60,26.50 ,4900,
A20261263,46.370,C60,26.50 ,6400,
A20261264,103.984,C60,26.50 ,6400,
A20261265,90.948,C60,26.50 ,7900,
A20261266,135.425,C60,26.50 ,7900,
A20261267,97.740,C60,26.50 ,7900,
A20261268,27.289,C60,26.50 ,4900,
A20261269,39.680,C60,26.50 ,4900,
A20261270,96.560,C60,26.50 ,6360,
A20261271,36.256,C60,26.50 ,6070,
A20261272,63.396,C60,26.50 ,6140,
A20261273,28.860,C60,26.50 ,6200,
A20261274,44.246,C60,26.50 ,6200,
A20261275,36.563,C60,26.50 ,5840,
A20261276,41.800,C60,26.50 ,6100,
A20261277,33.464,C60,26.50 ,7900,
A20261278,88.014,C60,26.50 ,4900,
A20261279,33.940,C60,26.50 ,6400,
A20261280,37.576,C60,26.50 ,6400,
A20261281,59.252,C60,26.50 ,6400,
A20261282,59.192,C60,26.50 ,4900,
A20261283,95.327,C60,26.50 ,6550,
A20261284,36.113,C60,26.50 ,6550,
A20261285,70.340,C60,26.50 ,6550,
A20261286,52.780,C60,26.50 ,6250,
A20261287,40.190,C60,26.50 ,6250,
A20261288,70.340,C60,26.50 ,6650,
A20261289,131.720,C60,26.50 ,6650,
A20261290,125.700,C60,26.50 ,6650,
A20261291,39.660,C60,26.50 ,6650,
A20261292,45.552,C60,26.50 ,4700,
A20261293,45.564,C60,26.50 ,6800,
A20261294,107.288,C60,26.50 ,6400,
A20261295,37.012,C60,26.50 ,6400,
A20261296,46.148,C60,26.50 ,3900,
A20261297,41.705,C60,26.50 ,4900,
A20261298,29.516,C60,26.50 ,4900,
A20261299,79.411,C60,26.50 ,4900,
A20261300,50.145,C60,26.50 ,4900,
A20261301,33.378,C60,26.50 ,10680,
A20261302,64.140,C60,26.50 ,4700,
A20261303,103.600,C60,26.50 ,4950,
A20261304,33.560,C60,26.50 ,6100,
A20261305,153.300,C60,26.50 ,6100,
A20261306,83.225,C60,26.50 ,6100,
A20261307,50.157,C60,26.50 ,6100,
A20261308,44.993,C60,26.50 ,6100,
A20261309,136.440,C60,26.50 ,6100,
A20261310,66.429,C60,26.50 ,6100,
A20261311,33.348,C60,26.50 ,5018,
A20261312,107.531,C60,26.50 ,6100,
A20261313,62.270,C60,26.50 ,6100,
A20261314,62.174,C60,26.50 ,4900,
A20261315,41.880,C60,26.50 ,5000,
A20261316,86.900,C60,26.50 ,5000,
A20261317,62.200,C60,26.50 ,5000,
A20261318,55.319,C60,26.50 ,5100,
A20261319,37.446,C60,26.50 ,5200,
A20261320,28.778,C60,26.50 ,5200,
A20261321,33.605,C60,26.50 ,6400,
A20261322,33.512,C60,26.50 ,6400,
