订单号,订单重量,钢种,规格,定尺长度
B20272135,42.727,NP01,43,4900
B20272136,30.519,NP01,43,4900
B20272137,37.646,NP01,43,4900
B20272138,126.837,NP01,43,4900
B20272139,50.394,NP01,43,4900
B20272140,20.443,NP01,43,6400
B20272141,136.862,NP01,43,4900
B20272142,29.729,NP01,43,7750
B20272143,20.212,NP01,43,4900
B20272144,12.789,NP01,43,6400
B20272145,19.924,NP01,43,7900
B20272146,107.088,NP01,43,4900
B20272147,44.979,NP01,43,6400
B20272148,128.02,NP01,43,5970
B20272149,78.923,NP01,43,6100
B20272150,37.035,NP01,43,7080
B20272151,24.581,NP01,43,7000
B20272152,43.407,NP01,43,4900
B20272153,57.699,NP01,43,5900
B20272154,38.501,NP01,43,5900
B20272155,138.685,NP01,43,4900
B20272156,18.622,NP01,43,5900
B20272157,35.031,NP01,43,5400
B20272158,70.417,NP01,43,4900
B20272159,31.55,NP01,43,4900
B20272160,12.873,NP01,43,5900
B20272161,74.662,NP01,43,7200
B20272162,23.611,NP01,43,6100
B20272163,78.048,NP01,43,5900
B20272164,49.802,NP01,43,4900
B20272165,25.771,NP01,43,4900
B20272166,75.078,NP01,43,5400
B20272167,82.466,NP01,43,7000
B20272168,91.242,NP01,43,4525
B20272169,132.863,NP01,43,4900
B20272170,6.672,NP01,43,7900
B20272171,23.511,NP01,43,4150
B20272172,71.729,NP01,43,4900
B20272173,47.299,NP01,43,4900
B20272174,20.186,NP01,43,5060
B20272175,94.334,NP01,43,6100
B20272176,49.804,NP01,43,4900
B20272177,60.191,NP01,43,6100
B20272178,42.401,NP01,43,5018
B20272179,141.384,NP01,43,4900
B20272180,21.645,NP01,43,6900
B20272181,62.848,NP01,43,4900
B20272182,77.125,NP01,43,4450
B20272183,22.705,NP01,43,4900
B20272184,13.115,NP01,43,6400
B20272185,76.464,NP01,43,4900
B20272186,12.427,NP01,43,3800
B20272187,31.146,NP01,43,5900
B20272188,25.639,NP01,43,6400
B20272189,42.514,NP01,43,4900
B20272190,12.531,NP01,43,4900
B20272191,12.075,NP01,43,6400
B20272192,46.957,NP01,43,5900
B20272193,43.733,NP01,43,4900
B20272194,12.475,NP01,43,5900
B20272195,41.948,NP01,43,6250
B20272196,137.217,NP01,43,7750
B20272197,47.178,NP01,43,4900
B20272198,55.629,NP01,43,6400
B20272199,55.542,NP01,43,6550
B20272200,121.674,NP01,43,5900
B20272201,16.263,NP01,43,6200
B20272202,126.273,NP01,43,5900
B20272203,31.778,NP01,43,3900
B20272204,106.662,NP01,43,4900
B20272205,115.591,NP01,43,4901
B20272206,37.231,NP01,43,4900
B20272207,29.167,NP01,43,4900
B20272208,15.854,NP01,43,6400
B20272209,37.046,NP01,43,4901
B20272210,49.496,NP01,43,7750
B20272211,40.879,NP01,43,5200
B20272212,50.516,NP01,43,6400
B20272213,61.924,NP01,43,5000
B20272214,20.544,NP01,43,4900
B20272215,31.683,NP01,43,6350
B20272216,73.882,NP01,43,4900
B20272217,29.116,NP01,43,4900
B20272218,76.456,NP01,43,7900
B20272219,49.737,NP01,43,6100
B20272220,65.612,NP01,43,4900
B20272221,33.982,NP01,43,4150
B20272222,20.916,NP01,43,6100
B20272223,126.159,NP01,43,5700
B20272224,31.614,NP01,43,6400
B20272225,75.179,NP01,43,6100
B20272226,30.487,NP01,43,6400
B20272227,46.729,NP01,43,4900
B20272228,12.85,NP01,43,7900
B20272229,51.779,NP01,43,5900
B20272230,30.506,NP01,43,4900
B20272231,33.297,NP01,43,6400
B20272232,137.639,NP01,43,5900
B20272233,22.557,NP01,43,4600
B20272234,25.043,NP01,43,4901
B20272235,19.449,NP01,43,3900
B20272236,30.328,NP01,43,4525
B20272237,48.763,NP01,43,4900
B20272238,77.442,NP01,43,4900
B20272239,80.485,NP01,43,5900
B20272240,25.006,NP01,43,4901
B20272241,23.908,NP01,43,7000
B20272242,140.901,NP01,43,5400
B20272243,90.663,NP01,43,6650
B20272244,37.156,NP01,43,5330
B20272245,24.301,NP01,43,4901
B20272246,8.078,NP01,43,7000
B20272247,45.363,NP01,43,6550
B20272248,76.035,NP01,43,9340
B20272249,11.865,NP01,43,4500
B20272250,26.325,NP01,43,4900
B20272251,22.803,NP01,43,4900
B20272252,47.003,NP01,43,6400
B20272253,29.285,NP01,43,6400
B20272254,24.148,NP01,43,8970
B20272255,43.062,NP01,43,4900
B20272256,119.231,NP01,43,5900
B20272257,19.131,NP01,43,4900
B20272258,117.035,NP01,43,4900
B20272259,14.223,NP01,43,4900
B20272260,24.123,NP01,43,4900
B20272261,45.599,NP01,43,5550
B20272262,12.39,NP01,43,6400
B20272263,14.878,NP01,43,4900
B20272264,40.152,NP01,43,6650
B20272265,48.505,NP01,43,4900
B20272266,53.631,NP01,43,4150
B20272267,23.453,NP01,43,4525
B20272268,12.387,NP01,43,9340
B20272269,6.454,NP01,43,4900
B20272270,16.15,NP01,43,4600
B20272271,94.502,NP01,43,10900
B20272272,49.066,NP01,43,4900
B20272273,89.198,NP01,43,5900
B20272274,31.793,NP01,43,7750
B20272275,58.116,NP01,43,6780
B20272276,35.163,NP01,43,4900
B20272277,11.819,NP01,43,5900
B20272278,86.523,NP01,43,6100
B20272279,31.725,NP01,43,4900
B20272280,43.486,NP01,43,6900
B20272281,30.318,NP01,43,7750
B20272282,51.886,NP01,43,6400
B20272283,34.429,NP01,43,6100
B20272284,11.953,NP01,43,4500
B20272285,50.685,NP01,43,4900
B20272286,18.085,NP01,43,4900
B20272287,25.807,NP01,43,4900
B20272288,138.531,NP01,43,4900
B20272289,11.56,NP01,43,5000
B20272290,76.005,NP01,43,7750
B20272291,70.225,NP01,43,4900
B20272292,72.916,NP01,43,4900
B20272293,28.037,NP01,43,10060
B20272294,25.211,NP01,43,4900
B20272295,47.237,NP01,43,6100
B20272296,20.201,NP01,43,4900
B20272297,31.078,NP01,43,4900
B20272298,17.465,NP01,43,4900
B20272299,23.523,NP01,43,4900
B20272300,31.888,NP01,43,11050
B20272301,41.153,NP01,43,7200
B20272302,11.947,NP01,43,5900
B20272303,15.198,NP01,43,4600
B20272304,19.342,NP01,43,4900
B20272305,49.401,NP01,43,6360
B20272306,105.135,NP01,43,6100
B20272307,104.305,NP01,43,4900
B20272308,12.153,NP01,43,4900
B20272309,30.208,NP01,43,6400
B20272310,17.959,NP01,43,4900
B20272311,41.956,NP01,43,10900
B20272312,30.188,NP01,43,4900
B20272313,91.17,NP01,43,6840
B20272314,133.837,NP01,43,4900
B20272315,35.506,NP01,43,5080
B20272316,80.384,NP01,43,5900
B20272317,25.341,NP01,43,5360
B20272318,52.899,NP01,43,8280
B20272319,15.081,NP01,43,7750
B20272320,22.232,NP01,43,4900
B20272321,44.033,NP01,43,4900
B20272322,23.409,NP01,43,4750
B20272323,3.813,NP01,43,8050
B20272324,40.703,NP01,43,5995
B20272325,69.656,NP01,43,4900
B20272326,52.81,NP01,43,7900
B20272327,11.987,NP01,43,5970
B20272328,62.54,NP01,43,4900
B20272329,19.711,NP01,43,6400
B20272330,30.125,NP01,43,4901
B20272331,38.253,NP01,43,10900
B20272332,70.971,NP01,43,6400
B20272333,11.873,NP01,43,7000
B20272334,56.329,NP01,43,5600
B20272335,33.07,NP01,43,6650
B20272336,20.539,NP01,43,4900
B20272337,23.455,NP01,43,5400
B20272338,133.371,NP01,43,4900
B20272339,32.782,NP01,43,7000
B20272340,18.452,NP01,43,6100
B20272341,132.985,NP01,43,6400
B20272342,12.282,NP01,43,4900
B20272343,10.074,NP01,43,3900
B20272344,132.371,NP01,43,8970
B20272345,30.345,NP01,43,6400
B20272346,123.305,NP01,43,4900
B20272347,86.697,NP01,43,4900
B20272348,25.016,NP01,43,6900
B20272349,34.314,NP01,43,8050
B20272350,135.121,NP01,43,4900
B20272351,119.984,NP01,43,7400
B20272352,11.418,NP01,43,5900
B20272353,59.299,NP01,43,6400
B20272354,31.574,NP01,43,7080
B20272355,54.783,NP01,43,4900
B20272356,24.315,NP01,43,4900
B20272357,6.708,NP01,43,4900
B20272358,34.879,NP01,43,4900
B20272359,8.374,NP01,43,5200
B20272360,12.426,NP01,43,4900
B20272361,39.397,NP01,43,5600
B20272362,23.374,NP01,43,6100
B20272363,29.822,NP01,43,4900
B20272364,54.294,NP01,43,4900
B20272365,39.302,NP01,43,5970
B20272366,23.018,NP01,43,4940
B20272367,25.309,NP01,43,5080
B20272368,12.391,NP01,43,10680
B20272369,48.013,NP01,43,6000
B20272370,24.927,NP01,43,6100
B20272371,29.932,NP01,43,6600
B20272372,40.286,NP01,43,8150
B20272373,71.906,NP01,43,4900
B20272374,12.27,NP01,43,7000
B20272375,10.836,NP01,43,5900
B20272376,87.883,NP01,43,5330
B20272377,17.311,NP01,43,4700
B20272378,12.547,NP01,43,5840
B20272379,36.711,NP01,43,6840
B20272380,109.166,NP01,43,6400
B20272381,67.534,NP01,43,4500
B20272382,12.989,NP01,43,4900
B20272383,91.825,NP01,43,6100
B20272384,87.024,NP01,43,4901
B20272385,101.766,NP01,43,4900
B20272386,24.511,NP01,43,6100
B20272387,18.481,NP01,43,6400
B20272388,47.038,NP01,43,4900
B20272389,72.456,NP01,43,6400
B20272390,26.114,NP01,43,4901
B20272391,44.19,NP01,43,5900
B20272392,40.072,NP01,43,7900
B20272393,51.541,NP01,43,10060
B20272394,12.412,NP01,43,6400
B20272395,133.298,NP01,43,4900
B20272396,28.435,NP01,43,4901
B20272397,15.481,NP01,43,6400
B20272398,31.506,NP01,43,7000
B20272399,34.592,NP01,43,6400
B20272400,12.104,NP01,43,4900
B20272401,39.544,NP01,43,6250
B20272402,23.903,NP01,43,5900
B20272403,17.174,NP01,43,7900
B20272404,35.121,NP01,43,5400
B20272405,15.677,NP01,43,4900
B20272406,35.064,NP01,43,4901
B20272407,62.51,NP01,43,5900
B20272408,19.055,NP01,43,4900
B20272409,6.295,NP01,43,4450
B20272410,43.04,NP01,43,4900
B20272411,17.931,NP01,43,4901
B20272412,115.502,NP01,43,7000
B20272413,51.028,NP01,43,8280
B20272414,36.356,NP01,43,6840
B20272415,20.16,NP01,43,4900
B20272416,64.021,NP01,43,5100
B20272417,32.519,NP01,43,6100
B20272418,89.771,NP01,43,6900
B20272419,12.238,NP01,43,5900
B20272420,106.495,NP01,43,10900
B20272421,24.54,NP01,43,6100
B20272422,35.225,NP01,43,4901
B20272423,27.301,NP01,43,4900
B20272424,59.437,NP01,43,4900
B20272425,22.773,NP01,43,5080
B20272426,49.023,NP01,43,5330
B20272427,56.748,NP01,43,6300
B20272428,18.314,NP01,43,8230
B20272429,29.227,NP01,43,4900
B20272430,11.955,NP01,43,6400
B20272431,98.97,NP01,43,7000
B20272432,11.944,NP01,43,6100
B20272433,11.404,NP01,43,4900
B20272434,58.037,NP01,43,6100
B20272435,38.132,NP01,43,4900
B20272436,53.539,NP01,43,4900
B20272437,77.232,NP01,43,7000
B20272438,23.208,NP01,43,4550
B20272439,18.14,NP01,43,6070
B20272440,21.622,NP01,43,6300
B20272441,20.238,NP01,43,8970
B20272442,40.963,NP01,43,6400
B20272443,72.237,NP01,43,10000
B20272444,30.934,NP01,43,8100
B20272445,54.636,NP01,43,5900
B20272446,35.473,NP01,43,5550
B20272447,43.488,NP01,43,6140
B20272448,50.588,NP01,43,5995
B20272449,33.528,NP01,43,5900
B20272450,23.196,NP01,43,5900
B20272451,24.756,NP01,43,5900
B20272452,32.565,NP01,43,4900
B20272453,23.878,NP01,43,6400
B20272454,129.105,NP01,43,5900
B20272455,12.046,NP01,43,6300
B20272456,16.247,NP01,43,6100
B20272457,94.725,NP01,43,5060
B20272458,12.124,NP01,43,4900
B20272459,18.547,NP01,43,4900
B20272460,50.873,NP01,43,4900
B20272461,16.692,NP01,43,4900
B20272462,17.242,NP01,43,7000
B20272463,22.25,NP01,43,6200
B20272464,24.094,NP01,43,4900
B20272465,8.662,NP01,43,7000
B20272466,12.241,NP01,43,9000
B20272467,40.731,NP01,43,4900
B20272468,22.359,NP01,43,4450
B20272469,48.693,NP01,43,4900
B20272470,47.727,NP01,43,6400
B20272471,71.431,NP01,43,5080
B20272472,19.88,NP01,43,7750
B20272473,24.934,NP01,43,4900
B20272474,12.588,NP01,43,4900
B20272475,53.357,NP01,43,4900
B20272476,24.105,NP01,43,4940
B20272477,101.989,NP01,43,4600
B20272478,13.252,NP01,43,4900
B20272479,58.388,NP01,43,5360
B20272480,35.881,NP01,43,4900
B20272481,12.791,NP01,43,4900
B20272482,30.045,NP01,43,4900
B20272483,93.902,NP01,43,4750
B20272484,117.031,NP01,43,4900
B20272485,38.678,NP01,43,6900
B20272486,46.664,NP01,43,6540
B20272487,67.738,NP01,43,7000
B20272488,31.165,NP01,43,5900
B20272489,50.382,NP01,43,5900
B20272490,32.707,NP01,43,5600
B20272491,53.192,NP01,43,4900
B20272492,39.093,NP01,43,11050
B20272493,50.905,NP01,43,6400
B20272494,35.606,NP01,43,4900
B20272495,76.183,NP01,43,4900
B20272496,32.344,NP01,43,4600
B20272497,14.509,NP01,43,6900
B20272498,23.273,NP01,43,4901
B20272499,46.348,NP01,43,5018
B20272500,37.008,NP01,43,3800
B20272501,20.812,NP01,43,5100
B20272502,24.689,NP01,43,8100
B20272503,58.389,NP01,43,7750
B20272504,18.895,NP01,43,4900
B20272505,31.641,NP01,43,6400
B20272506,58.867,NP01,43,5220
B20272507,148.051,NP01,43,4900
B20272508,15.666,NP01,43,4900
B20272509,121.644,NP01,43,4900
B20272510,88.653,NP01,43,4900
B20272511,99.657,NP01,43,4900
B20272512,16.621,NP01,43,7000
B20272513,17.648,NP01,43,3900
B20272514,43.261,NP01,43,4900
B20272515,79.825,NP01,43,6400
B20272516,27.452,NP01,43,5400
B20272517,11.873,NP01,43,5000
B20272518,35.701,NP01,43,9340
B20272519,33.46,NP01,43,4900
B20272520,102.505,NP01,43,7000
B20272521,38.39,NP01,43,7000
B20272522,28.642,NP01,43,4900
B20272523,50.492,NP01,43,4900
B20272524,29,NP01,43,5550
B20272525,42.85,NP01,43,4900
B20272526,17.968,NP01,43,4901
B20272527,85.568,NP01,43,5018
B20272528,133.563,NP01,43,5000
B20272529,6.374,NP01,43,4901
B20272530,12.675,NP01,43,6100
B20272531,95.356,NP01,43,6650
B20272532,12.025,NP01,43,6200
B20272533,40.519,NP01,43,6360
B20272534,41.215,NP01,43,6250
B20272535,35.434,NP01,43,5270
B20272536,20.27,NP01,43,5900
B20272537,28.968,NP01,43,5900
B20272538,28.351,NP01,43,4901
B20272539,22.325,NP01,43,4901
B20272540,33.928,NP01,43,5900
B20272541,111.554,NP01,43,4900
B20272542,28.986,NP01,43,4900
B20272543,33.416,NP01,43,4900
B20272544,20.296,NP01,43,6200
B20272545,46.795,NP01,43,5900
B20272546,35.259,NP01,43,5700
B20272547,40.514,NP01,43,7400
B20272548,33.945,NP01,43,6100
B20272549,33.235,NP01,43,4900
B20272550,44.954,NP01,43,6400
B20272551,24.062,NP01,43,4550
B20272552,3.787,NP01,43,8100
B20272553,41.559,NP01,43,5900
B20272554,88.203,NP01,43,6100
B20272555,9.163,NP01,43,4700
B20272556,17.376,NP01,43,5000
B20272557,76.035,NP01,43,5900
B20272558,68.902,NP01,43,8400
B20272559,16.551,NP01,43,4900
B20272560,32.134,NP01,43,6250
B20272561,65.612,NP01,43,4900
B20272562,5.418,NP01,43,6360
B20272563,18.252,NP01,43,5900
B20272564,71.968,NP01,43,4900
B20272565,52.022,NP01,43,7240
B20272566,82.185,NP01,43,4901
B20272567,53.84,NP01,43,5900
B20272568,49.926,NP01,43,11400
B20272569,59.535,NP01,43,6100
B20272570,57.275,NP01,43,6400
B20272571,43.776,NP01,43,6400
B20272572,58.105,NP01,43,4900
B20272573,119.57,NP01,43,5600
B20272574,27.502,NP01,43,4500
B20272575,59.669,NP01,43,6400
B20272576,16.688,NP01,43,7000
B20272577,80.607,NP01,43,6360
B20272578,19.043,NP01,43,4900
B20272579,22.931,NP01,43,8280
B20272580,68.673,NP01,43,6070
B20272581,113.319,NP01,43,6400
B20272582,49.24,NP01,43,4900
B20272583,6.008,NP01,43,6400
B20272584,24.981,NP01,43,4900
B20272585,24.07,NP01,43,6100
B20272586,18.296,NP01,43,6900
B20272587,31.634,NP01,43,5900
B20272588,36.531,NP01,43,6100
B20272589,11.994,NP01,43,5900
B20272590,51.134,NP01,43,4950
B20272591,19.681,NP01,43,8150
B20272592,19.855,NP01,43,10680
B20272593,33.252,NP01,43,4500
B20272594,118.18,NP01,43,4900
B20272595,16.867,NP01,43,8150
B20272596,135.986,NP01,43,4901
B20272597,88.968,NP01,43,4901
B20272598,43.466,NP01,43,5900
B20272599,80.088,NP01,43,5900
B20272600,16.174,NP01,43,6100
B20272601,73.826,NP01,43,6400
B20272602,35.686,NP01,43,7900
B20272603,18.873,NP01,43,5360
B20272604,41.158,NP01,43,6400
B20272605,70.213,NP01,43,4900
B20272606,5.615,NP01,43,4900
B20272607,25.891,NP01,43,6100
B20272608,23.348,NP01,43,8100
B20272609,41.362,NP01,43,5900
B20272610,60.733,NP01,43,5900
B20272611,49.096,NP01,43,6400
B20272612,124.578,NP01,43,8970
B20272613,110.625,NP01,43,4900
B20272614,126.155,NP01,43,6000
B20272615,24.822,NP01,43,4900
B20272616,45.756,NP01,43,4900
B20272617,16.933,NP01,43,6100
B20272618,36.312,NP01,43,4900
B20272619,30.635,NP01,43,6540
B20272620,29.783,NP01,43,8280
B20272621,43.21,NP01,43,6400
B20272622,54.455,NP01,43,6400
B20272623,55.16,NP01,43,10680
B20272624,101.104,NP01,43,4900
B20272625,28.156,NP01,43,4901
B20272626,18.388,NP01,43,8150
B20272627,78.747,NP01,43,4400
B20272628,19.312,NP01,43,8150
B20272629,17.612,NP01,43,5900
B20272630,17.903,NP01,43,6100
B20272631,26.136,NP01,43,4900
B20272632,43.604,NP01,43,6900
B20272633,18.62,NP01,43,4900
B20272634,51.131,NP01,43,3900
B20272635,52.33,NP01,43,5400
B20272636,21.889,NP01,43,4900
B20272637,35.068,NP01,43,6400
B20272638,28.627,NP01,43,6400
B20272639,22.44,NP01,43,4900
B20272640,28.607,NP01,43,6400
B20272641,63.428,NP01,43,5840
B20272642,41.946,NP01,43,5840
B20272643,23.992,NP01,43,6100
B20272644,12.45,NP01,43,4900
B20272645,4.611,NP01,43,6900
B20272646,144.584,NP01,43,4900
B20272647,138.044,NP01,43,5220
B20272648,22.934,NP01,43,6400
B20272649,17.723,NP01,43,4900
B20272650,61.06,NP01,43,6100
B20272651,23.745,NP01,43,8050
B20272652,12.871,NP01,43,4900
B20272653,12.579,NP01,43,11000
B20272654,96.104,NP01,43,4900
B20272655,35.172,NP01,43,4900
B20272656,106.075,NP01,43,5300
B20272657,22.659,NP01,43,6400
B20272658,25.239,NP01,43,6100
B20272659,98.779,NP01,43,7000
B20272660,59.495,NP01,43,5000
B20272661,19.496,NP01,43,4950
B20272662,6.613,NP01,43,4900
B20272663,15.504,NP01,43,7750
B20272664,30.87,NP01,43,4901
B20272665,78.475,NP01,43,5270
B20272666,20.897,NP01,43,11050
B20272667,62.204,NP01,43,5330
B20272668,45.779,NP01,43,4900
B20272669,94.403,NP01,43,6350
B20272670,17.015,NP01,43,10060
B20272671,32.569,NP01,43,4900
B20272672,30.818,NP01,43,5150
B20272673,65.206,NP01,43,4900
B20272674,16.555,NP01,43,7000
B20272675,35.038,NP01,43,6250
B20272676,49.905,NP01,43,4900
B20272677,18.372,NP01,43,7000
B20272678,49.5,NP01,43,4900
B20272679,95.254,NP01,43,5700
B20272680,50.019,NP01,43,4900
B20272681,122.638,NP01,43,6400
B20272682,65.491,NP01,43,5018
B20272683,17.143,NP01,43,5995
B20272684,48.327,NP01,43,6400
B20272685,34.427,NP01,43,9340
B20272686,24.603,NP01,43,6100
B20272687,23.636,NP01,43,5060
B20272688,24.324,NP01,43,4780
B20272689,11.953,NP01,43,4900
B20272690,45.681,NP01,43,4900
B20272691,97.677,NP01,43,4900
B20272692,22.967,NP01,43,4900
B20272693,56.395,NP01,43,4900
B20272694,24.084,NP01,43,7000
B20272695,7.778,NP01,43,6650
B20272696,30.401,NP01,43,4700
B20272697,17.218,NP01,43,6100
B20272698,73.946,NP01,43,5900
B20272699,124.36,NP01,43,4900
B20272700,16.753,NP01,43,8230
B20272701,19.054,NP01,43,6550
B20272702,30.521,NP01,43,6840
B20272703,47.882,NP01,43,4900
B20272704,12.987,NP01,43,11000
B20272705,62.705,NP01,43,9340
B20272706,52.074,NP01,43,4900
B20272707,68.449,NP01,43,9340
B20272708,20.108,NP01,43,5900
B20272709,127.063,NP01,43,4901
B20272710,80.803,NP01,43,6400
B20272711,62.655,NP01,43,5220
B20272712,28.654,NP01,43,6100
B20272713,46.056,NP01,43,4950
B20272714,12.008,NP01,43,6350
B20272715,34.971,NP01,43,6100
B20272716,17.973,NP01,43,4450
B20272717,79.841,NP01,43,5900
B20272718,30.782,NP01,43,7000
B20272719,71.677,NP01,43,5400
B20272720,7.545,NP01,43,8970
B20272721,64.763,NP01,43,7750
B20272722,31.067,NP01,43,4900
B20272723,25.855,NP01,43,4900
B20272724,12.174,NP01,43,8280
B20272725,17.515,NP01,43,6100
B20272726,43.328,NP01,43,4900
B20272727,44.269,NP01,43,4900
B20272728,17.546,NP01,43,6100
B20272729,95.523,NP01,43,7900
B20272730,35.791,NP01,43,6400
B20272731,22.352,NP01,43,4900
B20272732,95.123,NP01,43,4901
B20272733,29.462,NP01,43,4900
B20272734,15.596,NP01,43,6100
B20272735,26.387,NP01,43,4900
B20272736,53.768,NP01,43,7240
B20272737,89.853,NP01,43,6400
B20272738,25.354,NP01,43,6100
B20272739,19.12,NP01,43,4900
B20272740,11.804,NP01,43,6100
B20272741,25.249,NP01,43,4900
B20272742,15.179,NP01,43,4900
B20272743,12.031,NP01,43,4900
B20272744,100.107,NP01,43,6400
B20272745,30.376,NP01,43,6400
B20272746,19.168,NP01,43,5970
B20272747,6.286,NP01,43,4900
B20272748,56.293,NP01,43,7200
B20272749,18.763,NP01,43,7000
B20272750,27.469,NP01,43,5900
B20272751,18.442,NP01,43,4900
B20272752,12.708,NP01,43,5330
B20272753,3.416,NP01,43,5060
B20272754,12.627,NP01,43,4500
B20272755,127.817,NP01,43,8970
B20272756,65.553,NP01,43,6400
B20272757,11.71,NP01,43,4900
B20272758,38.238,NP01,43,6400
B20272759,89.889,NP01,43,6360
B20272760,15.185,NP01,43,5000
B20272761,18.173,NP01,43,7400
B20272762,32.235,NP01,43,7900
B20272763,11.787,NP01,43,4900
B20272764,48.149,NP01,43,4900
B20272765,17.987,NP01,43,4901
B20272766,18.806,NP01,43,7000
B20272767,7.536,NP01,43,6100
B20272768,137.501,NP01,43,6100
B20272769,27.832,NP01,43,5300
B20272770,77.467,NP01,43,4900
B20272771,49.87,NP01,43,5900
B20272772,23.947,NP01,43,5900
B20272773,17.604,NP01,43,4900
B20272774,77.652,NP01,43,4400
B20272775,16.692,NP01,43,5000
B20272776,25.483,NP01,43,6100
B20272777,52.802,NP01,43,8780
B20272778,12.285,NP01,43,6200
B20272779,106.279,NP01,43,7000
B20272780,39.533,NP01,43,6100
B20272781,43.313,NP01,43,4500
B20272782,11.629,NP01,43,4900
B20272783,20.713,NP01,43,6400
B20272784,57.227,NP01,43,6400
B20272785,12.958,NP01,43,6400
B20272786,74.082,NP01,43,6400
B20272787,117.185,NP01,43,4900
B20272788,28.104,NP01,43,6100
B20272789,30.592,NP01,43,6400
B20272790,132.74,NP01,43,5100
B20272791,80.867,NP01,43,7000
B20272792,35.435,NP01,43,7000
B20272793,29.76,NP01,43,4900
B20272794,24.928,NP01,43,11050
B20272795,54.578,NP01,43,5900
B20272796,29.575,NP01,43,4900
B20272797,111.164,NP01,43,4900
B20272798,62.241,NP01,43,8230
B20272799,134.962,NP01,43,4900
B20272800,50.132,NP01,43,6100
B20272801,15.414,NP01,43,4900
B20272802,20.97,NP01,43,6100
B20272803,30.87,NP01,43,4900
B20272804,49.706,NP01,43,7900
B20272805,71.473,NP01,43,5200
B20272806,33.132,NP01,43,4900
B20272807,6.058,NP01,43,7000
B20272808,18.84,NP01,43,5900
B20272809,78.127,NP01,43,5000
B20272810,36.88,NP01,43,5900
B20272811,90.868,NP01,43,4900
B20272812,132.036,NP01,43,9340
B20272813,116.999,NP01,43,4900
B20272814,17.703,NP01,43,6400
B20272815,38.607,NP01,43,4900
B20272816,32.219,NP01,43,4900
B20272817,37.207,NP01,43,4900
B20272818,81.67,NP01,43,6700
B20272819,47.628,NP01,43,5900
B20272820,58.433,NP01,43,6400
B20272821,12.184,NP01,43,5840
B20272822,15.083,NP01,43,5900
B20272823,80.253,NP01,43,4900
B20272824,24.898,NP01,43,7240
B20272825,29.69,NP01,43,7000
B20272826,29.849,NP01,43,4900
B20272827,15.74,NP01,43,5900
B20272828,35.042,NP01,43,4900
B20272829,79.683,NP01,43,4900
B20272830,62.422,NP01,43,6400
B20272831,30.549,NP01,43,6350
B20272832,99.427,NP01,43,6400
B20272833,20.733,NP01,43,6400
B20272834,18.978,NP01,43,5000
B20272835,42.914,NP01,43,6400
B20272836,39.935,NP01,43,4900
B20272837,18.704,NP01,43,7900
B20272838,76.82,NP01,43,8230
B20272839,72.883,NP01,43,4900
B20272840,31.458,NP01,43,4901
B20272841,20.811,NP01,43,5400
B20272842,130.152,NP01,43,5900
B20272843,25.69,NP01,43,4780
B20272844,11.885,NP01,43,6100
B20272845,124.472,NP01,43,5100
B20272846,6.073,NP01,43,6400
B20272847,73.159,NP01,43,5400
B20272848,26.086,NP01,43,4900
B20272849,31.568,NP01,43,6400
B20272850,100.23,NP01,43,4900
B20272851,70.047,NP01,43,4900
B20272852,14.288,NP01,43,4900
B20272853,24.588,NP01,43,5900
B20272854,23.955,NP01,43,4600
B20272855,32.866,NP01,43,4901
B20272856,63.471,NP01,43,4900
B20272857,25.173,NP01,43,4900
B20272858,18.876,NP01,43,4900
B20272859,25.538,NP01,43,5900
B20272860,12.739,NP01,43,4900
B20272861,24.78,NP01,43,4900
B20272862,12.398,NP01,43,6070
B20272863,16.325,NP01,43,5100
B20272864,31.422,NP01,43,4900
B20272865,36.434,NP01,43,4900
B20272866,11.701,NP01,43,6400
B20272867,23.376,NP01,43,4901
B20272868,61.214,NP01,43,4900
B20272869,16.689,NP01,43,9340
B20272870,17.394,NP01,43,4900
B20272871,35.014,NP01,43,4780
B20272872,46.739,NP01,43,4900
B20272873,52.671,NP01,43,4750
B20272874,31.677,NP01,43,4900
B20272875,62.63,NP01,43,7750
B20272876,22.691,NP01,43,4900
B20272877,94.646,NP01,43,8780
B20272878,74.732,NP01,43,4900
B20272879,44.858,NP01,43,4900
B20272880,89.101,NP01,43,6000
B20272881,49.078,NP01,43,8230
B20272882,38.744,NP01,43,6400
B20272883,39.182,NP01,43,5330
B20272884,25.572,NP01,43,5900
B20272885,27.087,NP01,43,5900
B20272886,33.423,NP01,43,5900
B20272887,75.497,NP01,43,9340
B20272888,54.736,NP01,43,4900
B20272889,11.747,NP01,43,7000
B20272890,106.287,NP01,43,4900
B20272891,48.858,NP01,43,5900
B20272892,83.216,NP01,43,6100
B20272893,3.27,NP01,43,4900
B20272894,5.036,NP01,43,5900
B20272895,16.065,NP01,43,4900
B20272896,26.215,NP01,43,4900
B20272897,3.892,NP01,43,4900
B20272898,61.611,NP01,43,6100
B20272899,85.225,NP01,43,6250
B20272900,23.585,NP01,43,7900
B20272901,72.525,NP01,43,6400
B20272902,56.592,NP01,43,5400
B20272903,30.676,NP01,43,6350
B20272904,58.207,NP01,43,6400
B20272905,86.202,NP01,43,4900
B20272906,46.967,NP01,43,6000
B20272907,51.801,NP01,43,4525
B20272908,6.297,NP01,43,7000
B20272909,16.353,NP01,43,4901
B20272910,123.646,NP01,43,5700
